# SignalP-5.0	Organism: euk	Timestamp: 20260407124956
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
O82882	OTHER	0.390259	0.609741	
P0A6B9	OTHER	0.001405	0.998595	
P0A925	OTHER	0.012938	0.987062	
P0A9Q8	OTHER	0.000625	0.999375	
P0AC25	OTHER	0.000736	0.999264	
P0AGG3	OTHER	0.001520	0.998480	
P43261	OTHER	0.108326	0.891674	
P60063	OTHER	0.001993	0.998007	
P69743	OTHER	0.181833	0.818167	
Q7BSW5	OTHER	0.228203	0.771797	
Q7DB77	OTHER	0.001467	0.998533	
Q7DBF3	OTHER	0.003199	0.996801	
Q8X8I2	OTHER	0.000969	0.999031	
Q8XAS4	OTHER	0.237092	0.762908	
Q8XB78	OTHER	0.001919	0.998081	
Q8XBX8	OTHER	0.000715	0.999285	
Q8XD24	OTHER	0.000917	0.999083	
Q8XE73	OTHER	0.005017	0.994983	
Q9S5G5	OTHER	0.000349	0.999651	
P0A6F2	OTHER	0.003412	0.996588	
P0A6N3	OTHER	0.000715	0.999285	
P0A6Q4	OTHER	0.001386	0.998614	
P0A719	OTHER	0.001029	0.998971	
P0A760	OTHER	0.004056	0.995944	
P0A797	OTHER	0.003049	0.996951	
P0A7E7	OTHER	0.021151	0.978849	
P0A7Y2	OTHER	0.000298	0.999702	
P0A892	OTHER	0.000523	0.999477	
P0A911	SP(Sec/SPI)	0.999521	0.000479	CS pos: 21-22. AQA-AP. Pr: 0.9453
P0A922	SP(Sec/SPI)	0.998467	0.001533	CS pos: 20-21. VYA-QE. Pr: 0.9619
P0A952	OTHER	0.000712	0.999288	
P0A957	OTHER	0.001778	0.998222	
P0A9C7	OTHER	0.000357	0.999643	
P0A9M6	OTHER	0.001409	0.998591	
P0A9R0	OTHER	0.012926	0.987074	
P0A9T2	OTHER	0.000314	0.999686	
P0AB82	OTHER	0.000776	0.999224	
P0ABJ0	OTHER	0.000431	0.999569	
P0AC49	OTHER	0.000793	0.999207	
P0AC77	OTHER	0.047747	0.952253	
P0ACC8	OTHER	0.008055	0.991945	
P0ACD6	OTHER	0.000887	0.999113	
P0ACV7	OTHER	0.015489	0.984511	
P0ADI5	OTHER	0.001440	0.998560	
P0ADS0	OTHER	0.001143	0.998857	
P0AE10	OTHER	0.000752	0.999248	
P0AE77	OTHER	0.002597	0.997403	
P0AEA9	OTHER	0.001933	0.998067	
P0AEE4	SP(Sec/SPI)	0.601668	0.398332	CS pos: 28-29. LRS-LN. Pr: 0.3125
P0AES7	OTHER	0.000853	0.999147	
P0AF19	OTHER	0.001696	0.998304	
P0AFG7	OTHER	0.000896	0.999104	
P0AFI3	OTHER	0.000230	0.999770	
P0AFU5	OTHER	0.001966	0.998034	
P0AFV6	SP(Sec/SPI)	0.606721	0.393279	CS pos: 29-30. CSA-NN. Pr: 0.4848
P0AGF8	OTHER	0.001183	0.998817	
P0C039	OTHER	0.001619	0.998381	
P0C0V1	SP(Sec/SPI)	0.989331	0.010669	CS pos: 26-27. ATA-AE. Pr: 0.5661
P58256	OTHER	0.000391	0.999609	
P58409	OTHER	0.001145	0.998855	
P63737	OTHER	0.338527	0.661473	
P64484	OTHER	0.002216	0.997784	
P68768	OTHER	0.001357	0.998643	
P69442	OTHER	0.035068	0.964932	
Q7AAQ7	OTHER	0.002126	0.997874	
Q7ABK6	OTHER	0.001730	0.998270	
Q7ADF8	OTHER	0.002084	0.997916	
Q7BSW8	SP(Sec/SPI)	0.995332	0.004668	CS pos: 23-24. AVA-AD. Pr: 0.5601
Q7DBA7	OTHER	0.001072	0.998928	
Q8X4L9	OTHER	0.001100	0.998900	
Q8X4P8	OTHER	0.000414	0.999586	
Q8X4S6	OTHER	0.001494	0.998506	
Q8X5J4	OTHER	0.005534	0.994466	
Q8X5L7	OTHER	0.000932	0.999068	
Q8X5W3	OTHER	0.002649	0.997351	
Q8X5X6	OTHER	0.003183	0.996817	
Q8X6L4	OTHER	0.003727	0.996273	
Q8X6M9	OTHER	0.004905	0.995095	
Q8X6X7	OTHER	0.000609	0.999391	
Q8X739	OTHER	0.038004	0.961996	
Q8X767	OTHER	0.001826	0.998174	
Q8X7P7	OTHER	0.012976	0.987024	
Q8X8E0	OTHER	0.000958	0.999042	
Q8X903	OTHER	0.007709	0.992291	
Q8X9L0	SP(Sec/SPI)	0.931040	0.068960	CS pos: 27-28. SES-NG. Pr: 0.2792
Q8X9Y6	OTHER	0.006656	0.993344	
Q8X9Z2	OTHER	0.000839	0.999161	
Q8XA47	OTHER	0.122810	0.877190	
Q8XA84	OTHER	0.002194	0.997806	
Q8XA87	OTHER	0.000769	0.999231	
Q8XAA4	OTHER	0.000347	0.999653	
Q8XAG0	OTHER	0.001132	0.998868	
Q8XAL7	OTHER	0.004307	0.995693	
Q8XAN1	OTHER	0.075392	0.924608	
Q8XAN6	OTHER	0.000475	0.999525	
Q8XAS7	OTHER	0.028716	0.971284	
Q8XAV1	OTHER	0.002866	0.997134	
Q8XB92	OTHER	0.001669	0.998331	
Q8XBI9	OTHER	0.001126	0.998874	
Q8XBJ2	OTHER	0.001549	0.998451	
Q8XBL0	OTHER	0.002447	0.997553	
Q8XBL4	OTHER	0.012748	0.987252	
Q8XBQ8	OTHER	0.029803	0.970197	
Q8XBR9	SP(Sec/SPI)	0.944581	0.055419	CS pos: 25-26. VFA-NA. Pr: 0.5362
Q8XBV3	OTHER	0.001204	0.998796	
Q8XBV9	OTHER	0.004394	0.995606	
Q8XC39	OTHER	0.136874	0.863126	
Q8XCP2	OTHER	0.000606	0.999394	
Q8XCU5	OTHER	0.001335	0.998665	
Q8XCX2	OTHER	0.001335	0.998665	
Q8XDA2	OTHER	0.006440	0.993560	
Q8XDN9	OTHER	0.002860	0.997140	
Q8XDZ3	OTHER	0.039098	0.960902	
Q8XE00	OTHER	0.002616	0.997384	
Q8XE10	OTHER	0.001183	0.998817	
Q8XE47	SP(Sec/SPI)	0.733340	0.266660	CS pos: 31-32. ARA-VV. Pr: 0.5707
Q8XE74	OTHER	0.000376	0.999624	
A0A0H3JBR8	OTHER	0.001029	0.998971	
A0A0H3JC75	OTHER	0.002361	0.997639	
A0A0H3JCJ9	OTHER	0.004577	0.995423	
A0A0H3JCN9	OTHER	0.001126	0.998874	
A0A0H3JCR7	OTHER	0.001365	0.998635	
A0A0H3JCY6	OTHER	0.004884	0.995116	
A0A0H3JD84	OTHER	0.000654	0.999346	
A0A0H3JFA8	SP(Sec/SPI)	0.996390	0.003610	CS pos: 23-24. AWA-VD. Pr: 0.7892
A0A0H3JFP5	OTHER	0.000413	0.999587	
A0A0H3JG53	OTHER	0.000789	0.999211	
A0A0H3JGC3	OTHER	0.000487	0.999513	
A0A0H3JGH6	OTHER	0.009754	0.990246	
A0A0H3JGJ3	OTHER	0.003814	0.996186	
A0A0H3JGQ0	OTHER	0.001050	0.998950	
A0A0H3JGU9	OTHER	0.002166	0.997834	
A0A0H3JH37	OTHER	0.002147	0.997853	
A0A0H3JH39	OTHER	0.000423	0.999577	
A0A0H3JH59	OTHER	0.001235	0.998765	
A0A0H3JHT3	OTHER	0.002464	0.997536	
A0A0H3JHY6	OTHER	0.001030	0.998970	
A0A0H3JIB3	SP(Sec/SPI)	0.988604	0.011396	CS pos: 21-22. GFA-AE. Pr: 0.7288
A0A0H3JID1	OTHER	0.000290	0.999710	
A0A0H3JIE4	OTHER	0.000402	0.999598	
A0A0H3JIZ9	OTHER	0.002942	0.997058	
A0A0H3JJ01	OTHER	0.000513	0.999487	
A0A0H3JJ58	OTHER	0.114923	0.885077	
A0A0H3JJC7	OTHER	0.001955	0.998045	
A0A0H3JJE1	OTHER	0.001132	0.998868	
A0A0H3JJG5	OTHER	0.001170	0.998830	
A0A0H3JJN7	OTHER	0.005976	0.994024	
A0A0H3JMC1	OTHER	0.001928	0.998072	
A0A0H3JML2	OTHER	0.008428	0.991572	
A0A0H3JMN3	OTHER	0.000843	0.999157	
A0A0H3JNM3	OTHER	0.001463	0.998537	
A0A0H3JQY5	OTHER	0.000842	0.999158	
A0A0H3JRN8	OTHER	0.000483	0.999517	
A0A0H3JRS6	SP(Sec/SPI)	0.659021	0.340979	CS pos: 20-21. MLA-RQ. Pr: 0.2225
A0A152UUM3	OTHER	0.000727	0.999273	
O85341	OTHER	0.000644	0.999356	
O85342	OTHER	0.002704	0.997296	
O85343	OTHER	0.001340	0.998660	
P0A3B3	OTHER	0.001167	0.998833	
P0A3B9	OTHER	0.002933	0.997067	
P0A3L9	OTHER	0.001342	0.998658	
P0A3R8	OTHER	0.111536	0.888464	
P0A436	SP(Sec/SPI)	0.749480	0.250520	CS pos: 19-20. TMA-AE. Pr: 0.5406
P0A6A1	OTHER	0.003193	0.996807	
P0A6A5	OTHER	0.013740	0.986260	
P0A6B0	OTHER	0.000487	0.999513	
P0A6C2	OTHER	0.043468	0.956532	
P0A6C9	OTHER	0.003459	0.996541	
P0A6D4	OTHER	0.002763	0.997237	
P0A6D9	OTHER	0.000676	0.999324	
P0A6E3	OTHER	0.002905	0.997095	
P0A6F0	OTHER	0.002073	0.997927	
P0A6F4	OTHER	0.000551	0.999449	
P0A6F7	OTHER	0.000415	0.999585	
P0A6G1	OTHER	0.000591	0.999409	
P0A6G9	OTHER	0.002171	0.997829	
P0A6H3	OTHER	0.001488	0.998512	
P0A6H6	OTHER	0.000350	0.999650	
P0A6I2	OTHER	0.000742	0.999258	
P0A6I5	OTHER	0.000708	0.999292	
P0A6I7	OTHER	0.000783	0.999217	
P0A6J0	OTHER	0.036549	0.963451	
P0A6J2	OTHER	0.001101	0.998899	
P0A6J7	OTHER	0.493962	0.506038	
P0A6J9	OTHER	0.001461	0.998539	
P0A6K2	OTHER	0.000691	0.999309	
P0A6K5	OTHER	0.000329	0.999671	
P0A6K8	OTHER	0.097922	0.902078	
P0A6L5	OTHER	0.004172	0.995828	
P0A6M6	OTHER	0.003761	0.996239	
P0A6N0	OTHER	0.001650	0.998350	
P0A6Q1	OTHER	0.000931	0.999069	
P0A6Q8	OTHER	0.000788	0.999212	
P0A6R2	OTHER	0.001582	0.998418	
P0A6S9	OTHER	0.026263	0.973737	
P0A6T2	OTHER	0.000818	0.999182	
P0A6T4	OTHER	0.005543	0.994457	
P0A6T7	OTHER	0.000969	0.999031	
P0A6V3	OTHER	0.006654	0.993346	
P0A6V9	OTHER	0.004231	0.995769	
P0A6X2	OTHER	0.002393	0.997607	
P0A6X5	OTHER	0.000542	0.999458	
P0A6Z0	OTHER	0.003472	0.996528	
P0A706	OTHER	0.000744	0.999256	
P0A727	OTHER	0.001536	0.998464	
P0A732	OTHER	0.002416	0.997584	
P0A740	OTHER	0.001152	0.998848	
P0A748	OTHER	0.002160	0.997840	
P0A758	OTHER	0.006379	0.993621	
P0A764	OTHER	0.000901	0.999099	
P0A788	OTHER	0.000287	0.999713	
P0A792	OTHER	0.001590	0.998410	
P0A795	OTHER	0.001240	0.998760	
P0A7A3	OTHER	0.002786	0.997214	
P0A7A6	OTHER	0.001709	0.998291	
P0A7B0	OTHER	0.001744	0.998256	
P0A7B2	OTHER	0.000456	0.999544	
P0A7B7	OTHER	0.000685	0.999315	
P0A7C0	OTHER	0.001003	0.998997	
P0A7C4	OTHER	0.000642	0.999358	
P0A7C7	OTHER	0.005950	0.994050	
P0A7D3	OTHER	0.003479	0.996521	
P0A7D6	OTHER	0.001927	0.998073	
P0A7E2	OTHER	0.001283	0.998717	
P0A7F1	OTHER	0.000935	0.999065	
P0A7F7	OTHER	0.011349	0.988651	
P0A7G8	OTHER	0.001650	0.998350	
P0A7I6	OTHER	0.001559	0.998441	
P0A7I8	OTHER	0.003771	0.996229	
P0A7J1	OTHER	0.001973	0.998027	
P0A7J5	OTHER	0.000742	0.999258	
